,Idx,Sent.
430,1565,He traveled under an alias and was accompanied by a former US Army sergeant named Ali Mohammed.
431,1567,"Whatever your political persuasion, the FBI and CIA deserve our support."
432,1575,"The suspicion was founded on many false premises, and there was no reliable publicly known evidence indicating his guilt."
433,1579,A suit against the New York Times and columnist Nicholas Kristof was dismissed in late November 2004.
434,1590,I hope that we can give you some time savings by eliminating any nonessential requests.
435,1613,I have to decline the invitation with regrets.
436,1641,Admin coordinator's do primarily administrative work.
437,1642,"I suggest that you compare Elena and Sarah's duties/ level to other Sr. Spec. in your group such as Kenneth Parkhill and Sevil to determine if they are equivalent, or if their scope of responsibilities and experience is not as broad."
438,1649,I appreciate all your help.
439,1676,"I believe ENE will continue to be range bound, but in case it is not, I don't want to forgo 50% of my option premium."
440,1678,"To that regards, I noticed I was not approved to sell naked calls."
441,1697,Who cares??????
442,1701,Your buddy Beau invited me.
443,1706,oh god is there an agenda.
444,1716,My only concern is that we take the boys away from their overwhelming task.
445,1726,My only concern is that we take the boys away from their overwhelming task.
446,1738,"I understand all of those comparisons, however, the reality is if we lose Dean (which we will if we don't pay 65k + 10k), we will end up hiring a replacement at 75-80k."
447,1740,"I know it seems like a stretch, but the market for hourly traders is very strong right now."
448,1744,Juan communicated some numbers to me and when reviewing this request would like to ask you to consider the following:
449,1777,I need to check something in 969's 2000 tax return.
450,1783,I think that this is for you since I don't know any of these people.
451,1805,I have a few entities that may need to change groups or be assigned to a group.
452,1808,"The 2000 tax return has no income, assets, or liabilities."
453,1809,"There is a corporate data sheet for this company, but this entity seems to have been inactive since it's creation."
454,1811,"Despite the name, this entity appears to be a MTM company."
455,1812,"Per September financials, this company has about $3M of MTM and about $8K of expenses, nothing else."
456,1815,"This entity was created in 2000 for the acquistion of WarpSpeed Communications (now Enron WarpSpeed Services, Inc. 83N), and then dissolved upon completion of merger."
457,1818,I think this entity should stay with 83N.
458,1824,I think this could go to either Holding/Administrative Companies (Same as 17H) or Network & Services (Leon).
459,1829,A similar entity (1179) was assigned to Commodity and Trade (Todd Richards and Mary Fischer) so this one should be assigned to them as well.
460,1833,Cherokee Finance VOF is assigned to North America (Glen Walloch and Kevin Walker).
461,1845,"I see that it is a 4, so that will be no problem."
462,1864,"I found them and purchased both from a gallery in London, William Weston."
463,1872,My concept is that overtime I would like to own one of all the following artists and they are all depending when I find something that we really like.
464,1873,I listed all of our (sometimes mine vs. my wife's favorites and priorities).
465,1875,I want signed and numbered.
466,1876,I realize that some were not signed by the artist but it is an important fact in my buying decision.
467,1879,At least that is what I am thinking now.
468,1900,Huskers drool over Sooners.
469,1903,"Huskers rule, Sooners drool."
470,1907,Sooners rule.
471,1913,I see that we are scheduled to have lunch today.
472,1923,"Mark, I thought you would enjoy the comment about you."
473,1928,I see that we are scheduled to have lunch today.
474,1939,We stayed at the Menger and had a great time.
475,1942,"This Friday - Michael goes for a visit at St. Francis, which may be his new school (so far, so good)."
476,1948,"Neil has a meeting in San Antonio (usually it is in Miami, San Francisco, Phoenix - not so great this year)."
477,1950,This means we won't be in town for the Compaq thing.
478,1956,We refer to licensed Fuel Cell Energy equipment.
479,1959,I have a concern that the Enron optionality bug could bite us on the backside with that one.
480,1966,I see we expect to have separate contracts for each project.
481,1968,We refer to licensed Fuel Cell Energy equipment.
482,1971,I have a concern that the Enron optionality bug could bite us on the backside with that one.
483,1977,"On the issue of the contracts, the draft says that the $170m is paid when the EPC contract is signed."
484,1988,3. I expect at least one EPC contract per project.
485,1998,I hear you are coming our way soon.
486,2006,She puts mayonnaise on aspirin. (<- clearly the winner)
487,2007,Her cereal bowl came with a lifeguard.
488,2010,"Her driver`s license says ""Picture continued on other side."""
489,2011,She has to iron her pants on the driveway.
490,2012,The back of her neck looks like a pack of hot dogs.
491,2026,I told Paul that you called him yesterday so abruptly because you didn't want to waste his time while you got tests done for arthritis.
492,2027,I told him I told you to call him back and at least hear what he has to say.
493,2028,He said they are looking for people and based on what I told him an interview was a formality.
494,2038,Don't take that deal out until I look at it.
495,2039,I think it is mine but I forgot to write it in the blue FX book (I only wrote it in my red book).
496,2045,Paul called me today.
497,2064,I think he would be a good fit.
498,2077,Attached is a forecast for the rest of the summer for the X (NWP and PGT).
499,2083,Ryan Watt says high.
500,2094,Late Jan sounds great.
501,2096,"I believe that these are three weekends in a row, January 6, 13 and 20th."
502,2103,She said a shower would be grand.
503,2104,She has some big presentation mid-January.
504,2109,"I think that it is a great idea to get some press regarding our fundamental operating standards, but I wonder about the most appropriate timing, enough of a global message and the means of delivery."
505,2113,"With regard to a global message, I think that one of the key points around fundamental operating standards are that they are intended to be global in nature, applied to every commodity and every location where we engage in trading activities."
506,2118,The last I knew after you and Brent drafted this starting point for fundamental operating standards was that this was being circulated (Shona took this to do after Brent's return to Houston) for comments to all business controllers.
507,2122,There is much work to do in defining the content and regularity of the report and even more work to do to identify reliable sources of data for compiling the report.
508,2133,"Steve, I noticed that our allocation from 2000 to 2001 is going up by 21% year on year (ie) $13.9M from $11.5M."
509,2150,You did a great job at the hearing----it went decidely downhill after you left.
510,2154,I remain convinced that if we can just get the facts in front of people they will modulate their approach.
511,2168,This means that messages initiated at Corp and intended for the entire Enron organization will not reach any business units outside the Corp domain.
512,2174,"Another thing to consider is that these messages will be set to expire and disappear within a set period of time, meaning users cannot retrieve them and read them later (as they can with e-mail)."
513,2175,"This means that I could be away from the office for several days and miss a message entirely, because it would have expired and disappeared by the time I returned."
514,2176,"The plain fact is that a few members of IT are pushing this initiative, but they lack commercial sponsorship."
515,2213,I was issued a new corporate American Express card.
516,2225,"Jane, on deal 763736 for May 01 sales to Southwest Gas, we have a pricing discrepancy."
517,2226,Our system reflects SJ Bondad GDP but SWG is going to pay us based on SJ Non-Bondad GDP.
518,2232,Attached are the gas settlement and support for May.
519,2234,"Mark Anderson says that even though Bondad gas flowed, the price was Non-Bondad."
520,2240,"Jane, on deal 763736 for May 01 sales to Southwest Gas, we have a pricing discrepancy."
521,2241,Our system reflects SJ Bondad GDP but SWG is going to pay us based on SJ Non-Bondad GDP.
522,2247,Attached are the gas settlement and support for May.
523,2249,"Mark Anderson says that even though Bondad gas flowed, the price was Non-Bondad."
524,2254,I talked with Markat SW Gas-just honro his numbers
525,2260,"Jane, on deal 763736 for May 01 sales to Southwest Gas, we have a pricing discrepancy."
526,2261,Our system reflects SJ Bondad GDP but SWG is going to pay us based on SJ Non-Bondad GDP.
527,2267,Attached are the gas settlement and support for May.
528,2269,"Mark Anderson says that even though Bondad gas flowed, the price was Non-Bondad."
529,2282,When are we going to get NetMeeting going ?
530,2287,She said it is getting better.
531,2307,And I bet she's on the phone with Shemin too!!!
532,2314,"Steve, everything looks good with one exception."
533,2317,"You review and approve it, keep it on your desk, and I will come over and make the change at your desk on Monday."
534,2324,You informed me that you would discuss this with your attorney.
535,2326,(Her voice mail says she's out of the office until Monday.)
536,2337,Barbara Walters did a story on gender roles in Kuwait several years before the Gulf War.
537,2340,"Ms. Walters approached one of the women and said, ""This is marvelous."
538,2342,"""Land mines,"" said the Kuwaiti woman."
539,2343,Cullen and Dykman (attorneys for Boston Gas Company) approved all of our changes on the agreement to release the Tenn and Iroq space back to Boston Gas.
540,2351,I KNOW YOU HAVE A LOT GOING ON WITH YOU AND THE LITTLE WOMAN.
541,2354,"YOU HAVE A LOT ON YOU PLATE, DAD."
542,2367,Your fellow employees asked for everyone from Britney Spears to George Bush.
543,2368,"In all, we received requests for 61persons outside of Enron to host an eSpeak event."
544,2369,"We thought you might like to know who your colleagues find interesting, so we've provided a sampling of the suggestions below."
545,2408,Vince sold!
546,2411,Thursday works for me.
547,2453,"I am intrigued by the competition for trading platforms and was astonished to hear that Goldman, Morgan, BP and Shell were going to launch a site to compete with yours."
548,2480,The 20 mill reflects gross exposure.
549,2491,I think this would solve our main concern...
550,2503,Attached for your review is a blacklined version of the: (a) Schedule and (b) Paragraph 13 to the ISDA Master Agreement.
551,2513,I wanted to follow up with you regarding the creation and approval of ISDA Confirmations for the following equity trades that I understand Laurel had discussed with you previously.
552,2542,We need to change the Prod Description fro the LME Product.
553,2550,The price is quoted in JPY (the 'Foreign Currency') per US Dollar (the 'Base Currency').
554,2555,I need to have a form filled out that says I don't have health insurance coverage through Enron.
555,2565,I have a change in plans next week.
556,2570,I hope you don't change your mind about going to the wedding Sunday.
557,2572,"They showed some kids on TV, and they were quite taken with it."
558,2575,This email is intended to be reviewed by only the individual or organization named above.
559,2581,I have a change in plans next week.
560,2602,I hope your dad's surgery goes well!
561,2609,I have a change in plans next week.
562,2620,I received a report from HR and it appears there is conflicting information regarding some of the titles for various employees.
563,2663,Our project manager (Scott Laidlaw) and engineer (Harry Okabayashi) want to issue a tasking letter to procure engineering services on this project to support the ENA work.
564,2668,I enjoyed your recent e-mail but was sorry to hear about your dad.
565,2677,"As to our family, within the last ten days our youngest daughter Elizabeth was married to a young man from Buenos Aires, Argentina."
566,2680,This past Thursday night our sixth grandchild was born.
567,2681,It was born to our son David and his wife Courtney.
568,2688,I hope you have a great summer.
569,2695,I want to check with Mr. Lay before confirming.
570,2702,"There are three possible dates for the meeting, which I suggest be in two parts -- first, a meeting among the panel only from 5:00-6:30 p.m., and then a dinner with Chairman Levitt from 6:30-8:30 p.m."
571,2712,Ken said to go ahead and equip it with what you think it should have.
572,2726,I hope that you will be able to attend that event.
573,2729,"The Texas Education Reform Caucus is made up of business leaders, educators, and elected officials dedicated to finding common sense approaches to improving education in Texas."
574,2746,"I believe someone called about this today, but Mr. Lay asked me to let you know that these dates don't work for him, either."
575,2765,I believe the fuel consumption will be tolerable as well.
576,2767,"I gave $16,900 + tax."
577,2770,I have to pick up old gray over at Jerry's.
578,2771,"Debbie said, it is going to be hard on me to sale my old dodge truck."
579,2772,"I said Yep, had that truck longer than I have had most of my women."
580,2779,I spoke with Gerald and he said there are a bunch of folks hanging around Dad's place.
581,2780,We need to change the lock and place posted signs at the gate.
582,2783,Reggie said he will pay us soon.
583,2787,We're set for 11/01/01.
584,2790,We used to go out and lay in the pasture on a blanket and watch for the space shuttle.
585,2796,I think she just wants to be able to touch football players legs.
586,2799,Cindy said Jaime has grown up very much.
587,2806,"Oh, Jeff Sherrar has a new book out."
588,2813,After the split Dow Stock there are 120 shares.
589,2820,I understand you have a brand new truck.
590,2822,I need 2 things from you.
591,2823,1. I found the title to the 4 wheeler and I was going to change it over to you name.
592,2829,"I thought we only had cashout, at most 3 times, before this June."
593,2832,I say we just keep the dough and go to Mexico.
594,2837,I believe that Doug told me the extra was for the cashout that was not invoiced.
595,2844,I assume you have your anwser and don't need me.
596,2846,I sent this to Mary last week.
597,2848,I need the prices below.
598,2856,"I need prices for May, June, and July."
599,2872,I know that we address audit rights in the LLC agreement so this may not matter anyway if this is a right they already have.
600,2890,I know that Jeff is in Portland.
601,2897,I spoke with Jeff Hodge yesterday regarding the additional language from Peoples regarding Audit Rights.
602,2898,His initial reaction was that their request was probably reasonable and in line with the spirit of a jointly owned L.L.C.
603,2902,"My goal, however optimistic, is to execute the risk policy by the end of today."
604,2914,I know that we address audit rights in the LLC agreement so this may not matter anyway if this is a right they already have.
605,2927,"Plus, I work with Janet a lot so she may get some comfort from that, instead of having a lawyer she hasn't dealt with initial it."
606,2947,I know that Jeff is in Portland.
607,2954,I spoke with Jeff Hodge yesterday regarding the additional language from Peoples regarding Audit Rights.
608,2955,His initial reaction was that their request was probably reasonable and in line with the spirit of a jointly owned L.L.C.
609,2959,"My goal, however optimistic, is to execute the risk policy by the end of today."
610,2971,I know that we address audit rights in the LLC agreement so this may not matter anyway if this is a right they already have.
611,2992,"We played a new version of Uno called ""African Uno"" that was complex, fast and at times, physically challenging."
612,2995,She had her cards memorized as well as everyone elses (when you play you'll see why you can know everyone elses hands!).
613,2996,I expect Craig didn't want Mom to see his place because it was messy.
614,2997,"I think compared to my house, he's embarrased about his apartment."
615,3002,I guess Mom is going to come back down sometime in March or April to see the new baby.
616,3005,"It's got its own bathroom and tv, and is pretty cozy."
617,3008,"But, I guess, it's a start..."
618,3010,"I leave the evening of the 21st, my flight comes in about 10 pm, and leave the morning of the 27th at 6 am."
619,3018,"Chris and Ben did a marvelous job for Thanksgiving, I can testify that it was one of the best Thanksgiv8ing Dinners I've ever had (I not gonna tell them that, I don't want them getting swell heads)."
620,3019,"Ma said she had a great time in Houston, She was happy to see yourself, as well as C & D."
621,3020,I think she likes her special room in your house.
622,3040,Your World Series in Question document: was received Kyle Jones/US/AMERICAS/Equant by: at: 01:00:51 PM Today
623,3045,Attached are the GCP Signoffs on EOL Approvals for 11/29/00 with GCP responses marked in Red.
624,3051,Attached is the referenced agreement.
625,3058,Our concern is that we don't want any trading related defaults to ever trigger a default under a loan transaction which has a swap as a component.
626,3062,"With respect to Deutsche Bank (""""DB""), we have one credit issue remaining, DB would like us to add all the Enron trading entities DB trades with as Specified Entities under the ISDA Master Agreement and we are somewhat hesitant to do so, as this could potentially roll up swaps under structured loan transactions into a default under the ISDA Agreement."
627,3074,"I spoke to Mark Taylor about your signing authority, and he agrees that you do not have the authority to execute documents on your own, but as long as you are only co-signing documents signed by an authorized officer as a control measure we're OK."
628,3076,"The referenced TAGG # was entered as a 'New Counterparty', can you please let me know what counterparty this is so we can correctly assess the counterparty exposure."
629,3082,"As much fun as they are, I figured we would probably do some different things than what you have planned for them."
630,3084,"But, we had a great laid back day last Saturday and I think have hit that comfortable stage...you know, not quite so formal about dates etc."
631,3098,A little birdie told me that you were checking into tickets for Seoul.
632,3101,"In any case, we have had some more time to do some exploring (and shopping), so we have some good ideas about what to do if you come."
633,3102,"I think that we will stay in Korea when your parents come and do the whole base thing (which will take only a few minutes, actually), but are considering going to China or somewhere during part of Thanksgiving."
634,3118,Kori told me she saw you last night at Steak Night and introduced herself since I failed to do so the last time we went.
635,3130,I forgot to tell you that I saw your friend on a re-run Jeopardy the other night and I almost called you but it came on at 11:30.
636,3132,I ran into Corey last night at LWs and I am thinking this is a girl for Darren.
637,3136,I think you may be adhering to it too faithfully.
638,3148,I know I need some of your organizational skills.
639,3151,There is no pleasure in having nothing to do; the fun is in having lots to do and not doing it.
640,3163,This e-mail is sent by a law firm and contains information that may be privileged and confidential.
641,3165,The least we can do is pass this news along.
642,3172,I think they'll send us another update once he's out of emergency and into a room.?
643,3184,"Jann, phoned this morning and asked me to pass this information to the group, concerning Bobby Riggins."
644,3186,There was one death in the injured group and the others with major injuries.?
645,3189,"Ben Taub hospital is located at 1504 Taub Loop, Houston, Texas, phone number: 713-793-2000.?"
646,3194,I think it's a good idea since the provisional application is on file - Travis is the internal lawyer who has taken care of the patent application so he will have better ideas for where the words should be placed and appropriate look and feel (I would guess near the copyright notice and roughly equivalent size).
647,3206,We intend to see as many people as possible regarding EOL implementation.
648,3215,"Argentina intend to press ahead even given the concern about taxes, etc."
649,3216,They wish to launch on Sept. 1 - meaning we will need to be sending mailings sometime around mid-August.
650,3253,I believe the message you forwarded to me belongs to the Mark Taylor at EI (based in London).
651,3259,Enclosed is a worksheet for Ineos Acrylics.
652,3268,I left you a voice mail on Friday.
653,3269,"I looked at the UEComm Master and had some comments--such as our name is wrong, the cross default threshold for us should be US $ and not AUD, and there were a few other questions I had."
654,3272,Attached are Uecomm's final comments to the Master Agreement.
655,3293,Attached for your further handling is the draft form Deemed ISDA between ENA and Ispat Mexicana S.A. de C.V.
656,3304,I know you all are going to have so much fun with them.
657,3320,Attached are the fax cover pages for each of the Nylon and Polykron Deemed ISDAs I just sent you.
658,3339,"Attached are an original and blacklined copy of your form of guaranty, which reflect our comments."
659,3344,"I received this draft from Niagara Mohawk Marketing, Inc. for our review."
660,3349,"per our conversation yesterday afternoon, attached are proposed drafts of the Schedule and the Para. 13 relative to the above."
661,3351,"I am told that our respective credit departments want to raise the credit lines to $10M for each party, but to effect that we will have to modify the existing Guaranties accordingly."
662,3364,"Thanks, I know you are busy."
663,3367,"Attached are the draft Schedule to the ISDA Master Agreement, together with Paragraph 13 to the ISDA Credit Support Annex."
664,3378,There was a change made in the coding for the delta position and this has somehow messed up the liq value.
665,3382,I believe that there might be a sign-flipping problem for PUTS that 's causing this whole issue.
666,3396,Does this mean that for June and for a certain portion of July we should not do anything and just make adjustments on a going forward basis (and assume everything will work out at month end)?
667,3401,There was a change made in the coding for the delta position and this has somehow messed up the liq value.
668,3405,I believe that there might be a sign-flipping problem for PUTS that 's causing this whole issue.
669,3432,Attached is the revised draft paper that reflects our conference call with Bob Fagan earlier this week.
670,3433,I propose we have a conference call with Bob Fagan on Fri July 20 at 1:00 pm Calgary time to discuss any areas of concern/confusion you may have.
671,3435,Attached is the letter I originally sent to you on May 10 in this regard.
672,3440,This draft reflects the changes we discussed during our call the other day.
673,3462,"We need responses or direction by no later than COB on Monday, October 30, 2000."
674,3483,They indicated they could use Steve's help face to face at some point.
675,3485,We await approval on the final tariff language and can then file at the CPUC.
676,3490,Attached for your review are draft talking points for the Cal Energy Markets conference I'm speaking at on Thursday in SF.
677,3491,"All comments, suggestions, etc. are appreciated."
678,3503,The call-in number and instructions for the 11/2 8:30 a.m. meeting are as follows:
679,3513,"Attached for your review are copies of the settlement documents that were filed today in the Gas Industry Restructuring/Natural Gas Strategy proceeding, including the Motion for Approval of the Comprehensive Settlement that is supported by thirty signatories to the Comprehensive Settlement, the Comprehensive Settlement document itself, and the various appendices to the settlement.?"
680,3538,Attached is a rough draft of my talking points for a panel I'll be on at a CEM conference in SF on Thursday afternoon.
681,3541,Goal is to (politely?) refute Loretta Lynch's and Carl Woods' continued assertions that 1) California's move to deregulate was based solely on ideology with no basis in fact and 2) the solution is to turn back the clock to command-and-control regulation.
682,3552,My flight gets into S.D. at at 8:35 on southwest.
683,3555,Sandi sez it's actually happening at 10 AM and it's renewable-focused.
684,3560,Marly asked me to respond to you.
685,3565,I hope the above is clear.
686,3575,"I believe we are to some extent already protected with ""Enron"" proceeded with anything, but EnronOnline(TM) , etc. just affords us more protection."
687,3594,"Jurisdictions which are not approved to trade credit derivatives include: Austria, Belgium, Canada, Croatia, Czech Republic, Denmark, France, Gibraltar, Ireland, Italy, Poland, Portugal, Romania, Scotland, Singapore, Slovenia, Spain, and The Netherlands."
688,3620,This Amendment amends the Transaction Fee referenced in subparagraph (c) of the Fee Schedule to the Subscription Agreement.
689,3627,I communicated that to Bob Bowen.
690,3644,This amendment adds the British Columbia Securities Act representation to the master.
691,3677,"The intention of the efforts and actions documented in my earlier update ( see attached email ) was to provide a robust position signoff process for total metal tonnage, spread and brand and location a timely substantiation of stock on balance sheet forward MTM debtors and creditor balances OBSF transactional values and a reconciliation of the barclays intercompany account"
692,3686,A reconciling difference of $15mm exists between the reported DPR and the final accounting p&l as generated on the AS400.
693,3727,I intend to provide weekly updates on the status of the above actions during April
694,3734,"I understand how competitive the process has become, but I felt that with my work experiences, recommendations, personality, extracurricular activities, etc. that this would compensate for my disability."
695,3748,"I understand that it is a competitive process, but I felt that with my work experiences, recommendations, extracurricular activities, etc., that this would help my chances and possibly compensate for my disability."
696,3763,"I understand that it is a competitive process, but I felt that with my work experiences, recommendations, extrcurricular activities, etc., that this would help my chances and possibly compensate my disability."
697,3770,I know that with my industry-wide and investment banking contacts that I can help raise capital for the fund.
698,3785,I want to make sure that I understand exactly how you propose valuing the transaction and how this value would be booked.
699,3801,This enables RAC to manage the associated risk during the life of the transaction both effectively and appropriately.
700,3805,"Article 6 of the Gallup Compression Services Agreement (which I am sending to you separately) with ECS obligates ECS to ""work in good faith with CDEC"" to establish an automated system that would automatically have alerted us to peak loading conditions on CDEC's system."
701,3808,"In the mean time, we need to make sure that we are doing everything we can to get a handle on the situation to mitigate future costs."
702,3812,"That sounds like a BS excuse from ECS, but it that's what they are saying, let me know and we can figure out a solution."
703,3818,My understanding was that ECS was to provide a means to access CDEC's online profile in order for us to make a decision to avoid running the compressor during CDEC's peak load periods.
704,3823,"They are deemed to be on notice that they had alternate point rights (its in the tariff) and if they wanted to submit a bid that had a different rate for primaries and alternates, they could have done so."
705,3824,"None of them did, and most importantly, the winning bidders did not."
706,3829,"My concern with adding the language below is, could it be argued that not everyone knew the rate would or could apply at any point, since we just stated Topack and Needles and if they knew they might have bid a different rate??"
707,3832,After discussions with the commercial group I propose that that redlined language be added to the attached Dynegy agreement and to the 4 other negotiated rate agreements we've done.
708,3836,"In discussion with Dave, we thought it would be good to put this together in a format of questions and answers."
709,3838,One thought is to have just the agenda as a couple topics and then lead in with the first two questions as I've listed.
710,3846,Attached is my draft of a request for rehearing.
711,3847,It incorporates Mr. Stojic's and Mr. Kelly's initial comments.
712,3867,"Lee Huber made the same request last year and we gave her the chair (she only wanted one, however)."
713,3877,"sorry, i left lou off of the message."
714,3881,"Lee Huber made the same request last year and we gave her the chair (she only wanted one, however)."
715,3891,I believe you got a copy of the John Sommer letter to producers dated Jan 6 that MKM's spies intercepted.
716,3892,She forwarded the Sommer letter to Stan and discussed it with him.
717,3910,"Following the Board meeting on Wednesday, you are invited to join with members of the DISCO Forum for a Wednesday evening reception and dinner, including a guest speaker."
718,3930,"Linda Robertson says they should be charged to Jim Steffes' cost center, etc."
719,3954,Grand-standing is ignored.
720,3956,"Those who show up and complain, but are not participating in the working groups and the daily Ercot phone calls, board meetings, etc. are ignored."
721,3957,Doug and I met with the Chairman of PUCT and have had subsequent conversations.
722,3959,Pat Wood made a phone call to Tom Noel and told him to get the Texas market fixed.
723,3963,There is an Electric Restructuring Committee hearing scheduled for September 6th or 7th.
724,3964,The forum is expected to be invited testimony only.
725,3966,The hearing is focused on the pilot and we have an opportunity to provide some probing questions for Wolens to direct to Sam and Tom.
726,3977,Enron needs to use this situation to quickly get our viewpoints up into the PUCT and ERCOT ISO on what is driving these problems and our proposed fixes.
727,3981,"Jean and Thane, I think that we need a FORMAL PLAN on what to do over the next 3 - 6 months to leverage this situation."
728,3989,"We envision a format that would provide a brief summary and analysis of the order, filing, etc. with a link to the source document as well for those who would like more detailed information."
729,3991,"Many details remain to be worked out, but we will keep you advised."
730,3999,I met him last week at the meeting of the Science and Industry Advance with Mathematics society at the University of Houston.
731,4005,"I enjoyed your presentation, and meeting you briefly afterwards, at the SIAM Workshop last Friday."
732,4006,"I have extensive experience as a technical leader in the design and development of modeling and simulation software products, mostly for the oil and gas pipeline industry."
733,4010,Your answer to a question indicated that I have several of the skills you look for.
734,4012,Attached are my resume and an addendum covering academic & consulting experience.
735,4040,I figured this posting belonged to one of you.
736,4060,Rick looks like a good candidate.
737,4069,"This is to advise you that we have available, for your business or personal use, Stan's four (4) WNBA Comets tickets."
738,4100,I expect to send them out to you sometime tomorrow.
739,4139,"Stephanie, I my preference is to kick their Password Application back and get them to change it to read something like ""Cargill Ferrous International, a division of Cargill, Inc."" or ""Cargill, Inc. acting through its Cargill Ferrous International Division""."
740,4144,There's a new EOL Counterparty listed in the UK.
741,4165,"F.O.B. refers to the following terms: Seller is responsible for freight, unloading and storage up to and including delivery in warehouse, Buyer is responsible for storage, loading and freight after delivery."
742,4171,"The price is quoted in US Dollars per unit of volume, which will be the Contractual Currency."
743,4192,"We informed Tana that we made the change in Global Counterparty to include, ""a division of Cargill Incorporated""."
744,4197,The difficulty lies in the fact that the confirmation system reads the counterparty's name from Global Counterparty.
745,4201,My suggestion is that Global Counterparty use the same name that the customer has signed on the EnronOnline Password Application -- my understanding is that the EnronOnline team returns inappropriate Applications to the customer until they are correctly completed.
746,4218,GCP procedure is to create Counterparty names that reflect either the Tradename / Division name or Parent Name -- not both simultaneously.
747,4220,This defeats the purpose of using a Tradename.
748,4234,"Stephanie, I my preference is to kick their Password Application back and get them to change it to read something like ""Cargill Ferrous International, a division of Cargill, Inc."" or ""Cargill, Inc. acting through its Cargill Ferrous International Division""."
749,4239,There's a new EOL Counterparty listed in the UK.
750,4253,My schedule shows an afternoon session.
751,4261,I got this.
752,4298,"We have GIS ids, and Eid (external id - just like GIS id)."
753,4299,I think we should try to migrate to one of these.
754,4314,I have the following suggestion for our company.
755,4327,The Leads who are responsible for Associates are as follows:
756,4351,"Shanna, I spoke with Per tonight about this."
757,4356,I have a copy of the document I can give to you tomorrow.
758,4362,"John, Per and I discussed the hostile environment issue and we are both concerned that we may have some repercussions."
759,4370,I wanted to let you know about this before I respond to her request.
760,4374,"Kathy McMahon suggested that I contact you in an effort to gather information on: Enron's Affirmative Action Policy and plans; as well as demographic analysis of workforce (gender, age, ethnic origin, nationality)"
761,4390,"We understand that the pipe fitters are also planning to picket the Lake Worth, Florida project as well."
762,4391,Our execution team needs to get some guidance and planning for this picketing should it interfere with the progress of the work.
763,4392,"In that respect, we need to dial in Rick Johnson and Olgletree to plan and communicate that plan to the execution team."
764,4393,"I think the first step is a call between yourself, me, Mark Stubley and Mike Indivero."
765,4402,"Mike Indivero, I understand that Mr. Mike Croall's release date from NEPCO is Oct 31, 2001."
766,4411,I assume we should come over EB.
767,4420,I have a conference call this afternoon at 3 pm (Houston time) with Antonio Felix de Araujo Cintra from the Tozzini firm regarding further research on derivative products for trading in Brazil.
768,4421,Attached is a summary of products and the various Enron groups seeking answers.
769,4442,The call was cancelled.
770,4465,Dan: please see if the attached draft works.
771,4472,I e-mailed your assistant earlier this morning and have had no response.
772,4484,"Other ""guidelines"" exist in limited form for the remote offices in Singapore and Australia."
773,4500,He faxed it to you and will have the original Fedexed overnight.
774,4504,Joe asked that you fax the revised gtee wording that has been agreed (I believe it was our agreeing to reduce the claim period from 15 days down to 5) and the new l/c wording (drops the 2 day period to replace an l/c with a different bank if the first refuses to pay).
775,4505,"I know we talked about these issues earlier, but Tiger's lawyers want to get everything agreed in writing now so final docs can be issued for signing, even if we are the one's issuing the gtee and l/c."
776,4508,There is an outside chance we could have everything set to go this week.
777,4522,"As for me, well, I lead the simple life, own a little house in West University, own a little car (I had to buy a new one recently - the 14-year old 380 SE started scaring me a bit), you know, the usual."
778,4536,Mark Elliott tells me that you drafted some trader guidelines (physical and financial) for the London traders.
779,4548,I assume you need both gas and power.
780,4554,Mark Elliott tells me that you drafted some trader guidelines (physical and financial) for the London traders.
781,4567,"Parties, attached is the promised ruling that provides procedural guidance for the hearings on 12/27 and 12/28."
782,4577,Attached is PG&E's Gas Accord II (GA II) Settlement Proposal.
783,4578,We believe it addresses many of the issues and concerns you have raised in the workshops.
784,4579,"As an overview, this proposal: * Maintains the basic Gas Accord structure in place today for the period 2003 to 2007. *"
785,4592,"The attached documents include the GA II Settlement proposal, an Attachment (a copy of PG&E's proposed Gas Rule 27), and a set of supporting workpapers."
786,4596,"In the meantime, we extend our best wishes for a safe and happy holiday season."
787,4600,This is to inform that a representative of Enron Corp would like to address the Commission on the issue of utility rate stabilization plans at the Commission's hearings scheduled for December 27th and 28th.
788,4604,Attached is a draft of the talking points for the Commission's hearings.
789,4613,The Commission's hearings begin tomorrow at 10 AM (PST).
790,4617,Attached is a draft of the talking points for the Commission's hearings.
791,4626,The Commission's hearings begin tomorrow at 10 AM (PST).
792,4643,The price spikes pose real political risks for Davis and he and his folks need and want an easy way out.
793,4644,"His press release following the hearing renewed the call for ""refunds."""
794,4645,"On my panel, Loretta Lynch asked Reliant and Duke to supply her with the details of the contracts they cut to sell their power forward to marketers."
795,4648,"Bilbray joined the ""gouging"" band wagon."
796,4650,"On the positive side, the FERC commissioners lauded Wolak, his analysis, and his remarks on the panel."
797,4654,"In the best case, the clamoring for a ""refund"" subsides."
798,4656,"In the medium case, investigations find that Enron (like others) ""played by the rules,"" but the rules stunk, and Enron profited at the expense of California consumers."
799,4700,"The initial reservoir reports estimate reserves of 80-120 million barrels of sour crude and they estimate initial production to be 40,000 bpd starting in 1Q 2003."
800,4701,Quality is estimated to be a Mars type crude with 25-27 API Gravity and 1.5-2.0% sulfur.
801,4702,Plans are to build a private pipeline to Equilon's West Delta #143 platform and then bring the oil onshore.
